tx_id,tx_size,tx_fee
77366,488,3911
27688,560,8935
66421,275,8779
00952,118,8234
00795,866,9368
75075,272,5200
89282,848,541
82970,119,7412
24111,252,3191
55745,277,4616
89100,94,2244
00180,193,4133
44230,755,3064
45658,795,6955
57063,85,6853
05521,518,3796
26702,620,5030
66119,839,7329
85972,533,7414
42255,494,8285
97325,225,9901
54146,171,7140
34237,490,5683
14470,556,2215
73620,585,6446
76202,64,9723
61329,673,8966
74523,745,4896
40521,402,4496
42057,993,7441
20680,219,1148
87898,524,1665
24713,186,7552
86151,170,1704
12521,988,9723
79869,2,424
58271,751,7009
46455,247,9267
55846,472,9989
18430,464,3852
55092,907,2511
65434,751,3712
80217,126,5790
90690,231,4591
92472,270,1638
48189,330,1256
68789,184,6987
74633,10,2056
51592,241,7973
24939,625,1002
26084,234,3587
61457,764,360
75601,195,1804
91713,294,5246
72620,363,2060
14675,797,433
36143,997,8067
21205,82,6218
90563,458,5152
06471,987,4857
63165,607,7867
88367,921,4600
55870,774,9294
87678,648,398
45202,819,7134
33371,765,5344
84517,115,8751
97751,419,7863
37974,420,9450
47374,769,9614
91044,131,5050
27665,459,7386
95530,204,5838
04024,425,9522
65830,960,4368
02094,122,8209
44606,275,7512
22129,869,3959
39050,23,5307
31053,530,6977
00313,834,9312
33327,50,3814
19905,342,7488
48407,118,1431
98608,643,9399
26324,207,5227
11170,503,1579
67693,238,3715
68050,261,106
14278,554,936
97491,309,8935
43797,65,2055
79268,497,7822
91405,995,7573
42318,174,208
53425,115,1781
35276,146,8005
61877,621,1770
06506,525,4793
03278,926,7229
60702,147,848
03848,982,1700
90334,199,8497
33187,377,1031
88400,602,3293
30813,391,4186
18456,925,7313
01767,906,5070
95188,43,5866
23897,660,9682
95732,89,2491
69056,941,1986
71106,28,7842
01518,978,187
81232,328,9946
93690,917,6092
49960,815,4992
62366,80,1750
28380,134,1538
86226,425,7006
13945,614,7188
89842,416,9169
29602,33,4451
65153,666,4297
09804,750,5716
34132,704,8451
64072,943,809
60864,238,6408
55357,789,9979
06788,564,9428
43212,152,4621
23755,453,3201
49059,891,5784
93925,653,7727
80261,202,4713
97874,115,1769
12251,939,2690
88615,315,4649
35899,301,5727
33679,357,1321
03492,131,6845
68970,909,2036
72050,816,2380
65809,393,7856
17339,513,1623
61789,921,9763
42409,368,141
02061,459,3554
19394,647,3756
50082,968,4908
44477,836,2417
98896,308,1983
72063,450,2822
41880,42,741
50471,312,7712
39009,796,2346
98179,170,6081
39373,127,2036
97462,277,3336
62789,53,1406
36214,896,7231
73096,150,1568
11981,169,5111
22012,47,7542
09055,434,7904
79974,108,3271
43599,477,3597
43775,997,2926
14268,120,5821
56830,816,7643
11217,837,1085
97482,874,8637
75547,594,9278
45675,799,3030
21464,1,7684
17330,20,1421
12716,410,6994
20188,547,5447
71732,906,1325
06285,683,6617
36356,656,9385
87977,208,6420
59191,857,3981
91168,784,3533
25112,459,953
45355,692,2867
48479,274,8352
22590,395,3609
03295,401,5530
57976,762,2859
78747,922,6228
90656,821,8426
10230,617,6906
59820,799,578
21901,416,4785
03124,949,2016
98868,953,1030
00948,847,1114
65853,241,7539
11435,970,5875
45578,914,6084
77387,634,7171
87168,3,6167
55537,306,5305
36149,71,8779
91921,95,6067
87322,803,9954
02944,397,1852
92093,844,1607
63281,173,3315
55731,386,2183
48839,377,6159
82348,313,1656
91962,480,9873
37024,446,6351
43460,19,9459
49527,647,4242
98775,328,4462
58127,236,6857
14691,784,6934
62607,160,3018
84857,194,3829
36596,519,406
69382,475,3009
84574,425,8582
23538,87,9524
53611,888,6883
97386,189,8777
13541,212,8476
44837,400,3804
09468,687,8781
96335,300,8490
05376,620,1905
15592,395,8716
67041,366,174
27914,6,7382
83985,969,3444
52838,198,6385
22282,441,392
09342,995,8507
91277,784,7774
83439,189,8636
45319,526,4371
21779,616,7790
43020,935,2403
30261,911,9284
40554,421,3778
15617,229,46
63048,387,7553
63125,628,280
19504,809,4977
46576,959,9725
25027,572,7612
06998,704,305
03420,150,1490
34853,378,3145
06762,198,7443
30395,378,6741
76912,725,4705
27757,402,6856
94189,352,9351
71751,501,3870
66155,599,6858
43756,475,4691
29578,319,2522
68473,744,990
73856,503,6113
44558,168,416
21507,883,7872
73959,875,1372
89283,428,9981
14860,863,9674
36386,540,7691
79427,755,2940
50328,22,8225
60779,629,211
39533,874,602
46456,105,7170
77244,612,6556
53626,879,8257
94677,38,126
68559,410,1441
91485,75,9311
58762,393,9901
58465,820,4984
04725,952,7356
35488,112,6166
46944,86,1788
86662,20,2979
17186,309,7811
97211,503,1566
28982,34,3515
80038,313,6555
97526,116,5833
37570,399,3149
76296,160,294
86384,191,8737
86584,768,4320
23172,753,9457
77656,428,548
12347,850,9153
57546,436,4885
34756,943,9522
43521,196,148
34895,511,1332
11092,858,9395
39704,713,4211
51471,670,9131
42072,750,1638
95359,786,2849
06231,478,9156
64594,239,2888
28131,6,8374
27038,856,431
52486,615,6592
26491,933,1199
60942,748,2922
00701,650,3876
63182,110,1575
00856,959,8232
13776,407,7432
50633,991,1836
83987,923,7328
51261,520,5358
09407,147,7498
49338,858,3338
08640,449,184
06340,168,1371
69983,298,2542
72274,127,3231
95972,285,5119
48238,191,5637
68708,666,8415
48637,369,8086
91519,650,8214
03123,716,7166
38004,917,8696
42574,938,8095
80905,239,2056
68454,831,4540
66109,890,2384
68942,275,4674
98611,570,3461
83476,438,2509
15516,664,8826
07197,320,1484
58987,855,4935
36346,783,2331
35413,195,6804
67731,928,6299
40478,808,2422
22467,384,1292
70958,555,8869
20705,202,6292
04687,378,1908
04488,563,4707
10165,827,4831
52317,911,4257
20496,334,840
63282,154,2836
41433,474,1810
89965,357,6991
67565,346,4801
37452,746,1631
79389,141,2726
74284,751,7989
19882,622,5623
41897,465,6886
07360,25,8203
19353,931,7605
51568,62,9250
19532,220,4572
27124,38,811
73996,14,8679
45125,35,9740
66970,964,5225
37111,211,5858
42334,944,2504
31110,587,8177
60057,842,468
17475,56,9616
62392,363,7715
97227,317,2049
35420,129,3646
58658,403,172
88590,210,9684
06490,523,8218
86727,765,7651
65910,341,4047
18921,114,2129
54156,507,5616
71523,948,4595
11955,599,23
58916,265,897
64964,728,6853
92511,884,7255
93921,335,8260
05859,260,6872
63127,877,6252
78898,222,6404
61683,756,6966
35631,329,8596
23952,235,6529
68380,555,6245
58544,428,1984
28412,37,773
04766,91,1814
22835,369,2249
58299,301,5125
18119,462,1864
11631,794,5798
04187,99,2342
59504,155,6058
11147,826,836
60380,39,6549
60628,814,4282
44406,311,122
06958,881,3601
43642,158,4822
28944,206,9795
34332,891,7182
01912,159,7114
23239,825,7074
24943,2,287
06320,390,4560
07319,332,7654
35696,472,9096
75487,873,7429
31377,57,2692
31567,983,776
54198,582,5937
52984,342,114
04524,207,6442
99185,427,9527
31243,249,514
89525,199,1234
62839,149,7152
14733,759,751
24101,530,7910
47248,848,8576
20291,98,5143
83762,322,8377
55393,687,7437
88364,534,1472
82315,950,1990
51389,129,669
58295,559,184
10504,397,8499
70403,142,4711
78888,18,3894
17045,951,7611
59836,427,5119
35860,688,5569
68734,756,4337
24545,88,7939
10228,212,9227
26978,646,7593
99007,445,3815
64730,768,4803
46606,308,9242
35079,220,3107
66715,776,3571
72220,10,4076
80239,924,1430
59699,60,5886
02976,387,238
11892,86,69
32297,113,9735
89053,226,455
77761,79,1044
91097,65,693
36294,831,6844
22482,801,1982
36224,548,6547
30417,278,6897
91308,1000,2972
62707,754,4772
35254,804,4949
62150,907,382
64414,553,2379
10914,810,57
37949,284,2621
52399,904,1353
32975,23,9321
06633,635,5487
32558,95,5456
63753,612,3359
86717,903,8496
87167,1000,4607
00499,466,9443
95767,962,1009
90608,883,2367
23206,210,8617
50422,33,4251
04705,38,3140
71828,688,6338
43781,885,3403
59783,402,4746
36059,14,2381
44851,1000,6051
46646,612,119
82607,692,3223
86276,898,8162
65984,907,5909
96407,905,3146
49672,950,9702
06479,496,8408
57122,957,8867
41121,216,1063
49842,435,65
85603,879,5975
06838,921,594
40336,945,2159
49636,852,5408
49969,68,8475
83290,42,827
34749,925,3103
84395,595,721
64429,226,2297
42154,227,22
19462,839,2738
99471,679,5729
00324,96,7565
96528,315,8994
12311,174,5303
72413,645,3931
69927,764,5594
10607,988,6754
54239,245,9904
96118,401,4685
18084,590,4755
64202,51,3865
37615,730,7632
91792,328,3158
94792,258,8952
21892,303,4884
46614,919,6937
50791,569,5921
25898,646,7219
53174,185,9147
48705,186,4807
11292,626,2800
22707,504,9075
15588,797,2950
11416,581,4677
04313,58,6836
72752,586,6680
80012,905,5152
25048,749,276
44032,256,8871
08060,481,1666
42558,105,4410
78760,768,192
12360,662,8800
72782,225,9379
14701,816,1126
38125,232,4390
19124,63,455
88350,83,5893
27461,194,7968
74495,869,7222
78198,371,1409
61141,233,8758
77343,498,5335
55677,803,9976
00010,804,9534
09416,47,6550
89321,488,6483
79654,899,8998
90188,977,3584
06224,47,3553
23257,199,6577
02295,362,8862
62595,401,4522
61141,27,4568
78083,5,6139
83226,6,9367
54281,189,7939
81485,522,7217
33927,549,1615
33092,211,4519
47580,169,4646
06972,716,4450
74218,805,5495
80107,144,9280
87537,567,3229
00381,206,489
91029,917,2572
32801,61,238
72062,391,7315
79456,20,5073
81195,733,1411
15234,710,4070
01595,779,9203
73774,398,7305
24758,253,3721
18671,40,4928
47229,796,7219
27751,710,2022
87039,514,9238
58113,208,8524
66950,732,2868
99356,486,5856
61194,983,7442
83604,303,5371
61079,614,3214
32608,354,3167
82925,335,8325
64868,570,4135
38976,929,5964
70635,639,5810
46086,28,5249
40106,975,1733
34193,730,1519
43007,189,9333
86966,759,885
42075,224,1080
35186,461,9327
51194,944,7750
96130,114,3124
70276,818,7262
94438,810,117
47606,659,1683
53362,403,9909
25072,148,4349
86068,747,5196
89042,138,367
51299,12,8918
17828,751,641
43241,481,97
51994,241,9949
54565,18,4430
01833,11,641
47329,191,1534
86378,697,7484
90038,341,8507
09173,630,2932
49819,201,2968
31635,602,5310
16231,252,6912
13357,62,6755
11209,934,7855
36678,678,1734
90479,170,4918
42924,655,1945
27305,40,2767
70159,667,3207
02570,266,8368
51729,278,7562
46057,173,58
93113,591,321
72832,405,6428
00590,295,8939
43364,228,8408
79013,347,5296
03234,421,7720
74126,860,6909
70958,690,5376
05450,349,5442
16713,689,9449
91398,158,1004
39499,684,5131
06816,387,1325
93924,685,9726
10789,76,6744
85054,909,5121
89913,680,4368
18900,63,3143
58617,899,1851
78562,491,1406
12877,484,9243
02070,887,7222
53904,987,5486
52205,663,9826
49186,223,1857
03249,463,1721
95841,744,2360
33205,7,7502
83595,786,6663
77282,461,3197
69480,21,7981
49742,596,3394
03487,956,1872
28031,125,25
10290,510,1850
00822,914,3574
15094,76,4867
87408,402,6564
45153,87,4947
96696,76,1346
69661,878,8512
92990,274,5995
20355,157,2060
33172,678,5655
56171,684,5441
33309,677,3463
24759,556,3307
97597,322,8026
42030,944,2028
66500,653,4447
33775,958,4936
38027,985,3897
13991,533,7924
21370,359,5973
24725,709,9235
35764,338,1246
32474,364,78
41746,855,5712
89887,262,7602
32522,403,6289
35484,321,9056
13067,624,4029
81254,344,6217
25471,350,6262
83110,847,8321
22737,182,1531
60321,862,3651
04885,325,1049
11187,638,4429
49204,552,2176
29884,511,2
64147,443,6329
06318,423,3034
38829,220,3834
90311,995,910
99309,120,2689
31005,152,3038
59452,682,5163
19555,13,3269
30352,165,7111
07098,885,7477
44549,447,613
05354,961,4422
94250,267,7648
41486,975,245
77049,257,6187
04221,536,6622
36114,202,7566
91345,232,8363
83826,901,4589
91593,126,3713
91057,670,7149
83673,240,6031
92476,475,4099
00587,348,4405
61284,575,7372
96811,949,8956
46786,707,6869
39226,467,9235
34254,539,5095
95388,466,4036
64412,330,2240
39893,691,6769
83649,409,9269
66779,731,549
11692,850,5784
92496,118,9521
83890,18,6004
66762,870,8429
44324,627,5782
38583,611,9809
24448,348,9963
07482,102,2019
86450,484,8997
00287,926,8138
82115,925,8774
36529,323,6457
73072,388,4017
98788,553,1313
91656,112,1802
74899,329,5915
33785,79,286
73142,166,1951
37787,625,6977
00336,563,839
01360,817,7742
76314,641,908
66134,323,3509
53476,512,5535
80232,993,8557
73434,592,1676
63915,35,811
05519,887,8287
59117,92,7479
84226,734,2155
02695,879,7158
67411,996,2132
78424,793,6040
11417,68,320
39544,856,4012
69926,603,7061
02775,294,1747
64329,817,6194
58920,343,9774
80734,485,109
81592,940,5534
62673,963,2330
03964,208,7341
24129,741,3426
13130,956,698
07490,189,1325
85955,731,1438
69577,235,2192
02094,899,3434
78472,719,2347
37792,81,8657
92547,906,6142
17115,702,9587
34178,413,9758
13668,604,4570
78434,998,3340
78514,626,8965
81837,208,71
07559,495,8068
78232,564,4906
54793,933,7041
68729,89,6997
47801,887,7194
21562,688,9240
33720,131,31
38143,709,9022
54003,699,8629
83488,417,2987
76019,303,2527
67954,855,3879
37999,166,5499
98760,289,2658
18680,309,5918
88405,481,9623
70426,785,2827
89399,587,9301
80449,881,3098
22796,328,9564
53242,307,9998
51661,45,5449
17469,917,4820
95811,858,2866
19303,528,8483
61487,548,5110
14952,308,2768
13597,987,186
05459,916,5318
16333,490,1193
34984,822,646
62669,714,9697
60361,209,7350
30635,671,26
76738,782,1605
28494,736,9562
31202,68,6267
97780,982,1115
11215,86,4060
72932,824,4883
20444,450,2374
56892,836,1747
84855,604,8597
93679,517,8224
80981,710,6195
82685,880,2279
92886,368,9712
73934,649,1470
85081,484,5568
13063,930,1106
76878,860,3396
93804,501,1330
40304,919,9539
57331,42,5181
33466,454,4402
83289,469,2301
35066,408,5132
40275,815,4417
50022,944,6268
60898,203,6303
55885,604,10
05925,342,3928
31622,81,4002
15780,336,7401
81405,678,2185
24200,518,3120
42656,843,6748
54988,654,9607
57518,238,6167
45594,6,4574
72642,273,6947
11500,302,8446
34165,642,1898
00525,749,944
76320,469,404
62026,458,2231
75127,500,7715
56482,23,6084
24224,465,5192
39143,149,1128
15316,178,7783
59646,762,6533
79675,334,1240
55456,22,26
67936,898,353
43568,594,4739
40108,665,1050
71314,64,4610
75324,224,4400
44523,666,9106
71103,603,2339
41886,383,958
46753,437,424
96316,553,3493
30234,913,2686
93294,725,3548
57684,793,108
28622,91,1568
33897,525,3907
19175,443,8396
29436,587,1934
54259,452,8244
22303,521,3655
92011,839,7149
60025,627,8725
96466,776,165
71012,249,9564
96999,485,2699
67626,57,7026
06296,538,3688
23785,12,3728
93758,632,9550
82673,335,8692
59179,483,9955
49097,452,9608
62033,887,9296
36100,690,539
35696,830,3434
63814,605,679
00635,429,467
30520,783,2548
13970,514,5545
57561,18,3924
39373,525,7441
33141,640,937
54445,951,5975
82674,656,58
94766,228,3569
83907,446,1215
76819,714,2108
62516,475,7634
34144,531,3586
42329,817,1184
93145,891,8715
69368,36,2793
47678,707,867
97657,969,4065
70876,309,9159
21176,903,8150
61642,576,4629
12984,40,3857
75004,889,2177
03448,302,5578
56135,921,7563
02731,31,8799
25344,477,9543
79202,105,5859
47039,584,5005
88018,601,9998
78055,830,7296
58707,373,94
83365,718,6583
34114,878,1254
87830,749,3761
79040,12,2216
08823,553,9744
07680,396,4546
75037,506,3008
77271,960,9859
80636,561,5173
49216,926,1206
22789,949,7041
76510,877,3639
00581,191,9008
85167,797,8938
88945,787,4217
51520,949,3445
74285,72,2664
80079,124,1963
99552,299,783
17672,624,8279
63592,507,8208
32312,388,9658
71252,685,1637
67468,716,1114
43437,819,1217
02882,710,180
73748,415,4987
33402,773,9025
22437,217,3345
16406,182,2216
42732,273,4002
04182,848,9629
29662,787,4720
86219,557,1217
93258,738,4023
44200,153,9303
07554,627,7961
53879,311,2404
59026,427,306
83884,617,718
82483,621,1443
05062,638,2839
73501,49,135
81436,958,898
56378,924,436
11204,362,8127
24639,302,9803
35193,221,1143
55316,905,4148
57597,361,2717
63810,654,5867
20241,214,4511
58074,253,303
15112,832,2275
51131,612,8677
51546,196,6711
80359,930,6917
35800,293,4388
30085,931,9756
44276,775,2949
26890,464,4284
63395,664,8774
51456,38,3730
11827,223,9958
46928,635,9774
25593,926,2498
65978,881,9307
20795,245,5958
64363,608,8405
38685,954,969
46845,401,6361
87827,112,3808
70586,536,6278
44011,663,8116
10385,868,5706
14525,284,2657
81564,699,7214
46967,480,8702
78798,772,9184
29970,906,3802
67881,499,4012
96457,522,4653
24800,765,4925
73331,580,4992
31030,104,5200
25470,806,2769
97079,859,6707
97089,217,7874
83595,134,9551
52812,683,9359
39094,982,20
30767,440,3919
11740,736,9632
90962,625,1879
90228,440,9433
94672,417,4888
63949,708,8664
71182,795,2518
61210,725,9846
01108,897,8394
67595,749,761
52809,827,8946
94704,194,9378
66677,359,8439
31859,978,4687
26072,205,5707
74788,260,7690
12292,43,8381
03196,199,474
43002,544,1536
54608,67,4726
13174,445,2016
88299,180,2876
78924,165,3542
32386,710,1636
48917,778,7488
45148,302,7994
48847,33,292
09711,657,6399
84421,206,8701
80288,304,1908
26800,161,1281
21230,13,8320
82340,283,29
03900,856,1199
87744,32,9490
22628,460,8927
41390,75,1929
40314,12,8513
32846,5,8203
06841,59,5795
50486,688,1865
82693,404,1732
50992,742,701
00071,791,9536
61790,977,6676
00923,246,4995
29821,801,9105
40180,480,6630
43799,533,6572
36311,541,9030
56823,312,5316
94597,814,2440
78047,1,4000
89207,110,7110
84890,767,3854
03628,311,4945
63258,320,4979
16234,76,390
64502,815,3856
64331,824,6044
18385,507,5942
18800,78,8984
21965,131,7566
73720,443,3678
71241,269,5247
36643,966,73
84138,7,7405
95222,205,5146
68422,502,4458
26264,887,8444
78442,788,6772
64363,970,9919
95895,415,1610
57030,650,3617
49144,461,9705
83311,358,4202
32243,270,993
31692,179,8854
75566,783,6307
00162,21,7016
37418,168,9041
36512,701,7022
09578,220,6114
39158,159,7201
87672,981,9392
89025,11,2504
49226,511,9750
92548,388,2314
30660,886,1878
32356,520,312
67224,972,2484
31843,359,4454
51305,390,2816
40563,391,4154
04021,503,6392
09513,701,1865
67826,51,4209
27941,239,3826
49456,349,6790
35755,692,4945
34446,914,3115
91908,532,765
93253,333,9248
78593,174,4829
38303,464,619
61564,362,3054
11086,636,4348
90554,715,492
29899,169,2997
57808,281,9252
59678,540,3771
99446,660,8193
45970,682,6361
64312,71,5270
76614,128,3826
36763,864,2801
40782,615,9929
66675,587,5549
80802,940,5203
86517,933,7768
32940,851,4132
81609,23,1469
88611,838,470
77355,218,3567
19703,759,106
51338,379,3776
67273,980,820
24176,861,7861
94607,485,941
31524,609,8568
15083,26,5277
20188,786,4203
95759,894,9841
65072,620,618
56316,547,3851
79222,549,2629
43397,908,5951
60069,545,3890
86614,202,6364
52740,362,7781
37147,966,9999
97320,790,1331
95002,985,9758
84175,519,7771
35779,212,8810
83662,917,7466
49333,92,4889
70649,131,6412
34820,401,4664
10146,179,3861
10834,612,5946
08053,432,8921
90811,228,1539
98756,134,8988
67099,637,4010
31963,562,4884
12639,38,4442
05163,382,6605
37574,874,1617
92590,801,944
69407,588,778
48087,530,308
93872,989,506
40579,4,2940
40277,559,9381
31979,667,9469
62482,840,7644
11357,82,7365
55934,48,3229
81989,685,7572
43978,268,4444
82979,369,4835
45296,755,6916
32699,369,5965
25380,139,3549
64700,652,4519
44046,785,518
39867,248,3076
55461,796,3227
29064,119,7727
85585,513,3678
98268,193,320
32425,328,1055
41922,66,5393
91396,537,5967
64182,124,2564
57874,660,9896
34242,406,76
74427,877,4796
28760,954,2301
88801,748,3243
19978,693,2403
89316,478,3957
16445,281,2274
42558,921,9897
68150,869,4444
30784,13,8240
20989,767,5386
93351,413,3960
43748,768,1829
95817,523,3501
50786,17,1159
90175,330,3424
98146,725,4006
45069,183,7766
48542,520,8558
99624,709,4331
43239,938,6405
78359,678,8253
49471,718,8384
91186,862,1419
48446,449,7580
53665,120,2350
02436,541,496
03605,59,3096
73137,974,7279
16179,85,7145
07222,79,8625
82903,462,6656
04409,229,3066
69689,717,6960
38726,979,5895
16035,504,2946
13794,506,9959
25446,360,5568
16053,884,5805
47380,606,4027
78529,515,4676
53229,802,4598
14487,697,4024
34195,493,5866
91118,900,3833
95360,239,7563
58547,353,3283
63925,652,4807
83260,457,9542
25197,200,3914
98952,703,5797
95052,841,526
43101,518,4294
33484,346,6904
38562,918,722
19714,946,2944
99669,286,6757
10526,523,7368
98181,92,7051
62958,607,6584
98785,921,6350
48872,272,2732
71380,336,1698
67389,627,8051
41349,212,6877
16382,71,1862
57466,869,5311
48748,246,1748
87334,804,2841
87458,562,5741
17970,797,8524
41087,171,3890
56611,556,3417
79314,938,7869
46552,280,5370
85918,650,8379
46567,706,8185
88051,970,8289
45335,137,4615
22401,785,1708
69040,943,3333
14568,499,9009
65523,7,7960
63447,795,5962
39495,520,6614
71474,483,1135
45523,176,2580
55465,516,2760
29509,398,6234
27240,729,9244
04476,662,4924
33680,927,5346
54378,572,2792
76511,87,255
45016,237,9568
56325,656,1072
36134,290,4379
54628,34,2497
61059,438,9394
08243,167,474
11219,736,1071
68017,394,241
50422,44,7377
61825,632,8610
13956,777,9879
52012,464,3990
73706,800,1913
59416,920,1604
47780,4,2854
19554,62,2577
54840,266,7729
47892,654,1574
41364,577,7551
48091,253,4078
34866,647,238
69481,959,7043
67088,92,2847
16114,208,2752
66245,257,8935
32812,258,7520
97500,768,640
74691,952,3337
03597,361,8465
51767,67,1305
85706,742,2454
60756,476,655
82830,769,2147
60967,315,9168
69114,306,7435
80718,157,6567
73469,227,7479
77588,817,3596
59799,131,4578
43258,7,8209
01867,189,5769
69560,287,2641
30453,805,4844
83263,672,6491
18477,261,3272
21105,818,5644
69039,243,4985
20257,125,5879
56487,330,816
49098,571,5225
77130,425,7170
43755,259,4419
55261,306,4716
28426,320,5523
46587,680,4580
33219,350,7085
88463,83,1525
85400,408,6924
37079,250,1017
79466,447,2677
05513,153,9956
79012,448,4729
52331,283,1076
15594,128,8363
15707,45,9412
69219,708,3311
85722,223,6324
73933,951,3029
19334,616,510
69476,433,4217
05930,958,4351
98433,667,6717
92512,201,3875
73518,680,3131
22265,180,9042
55686,522,5187
89780,964,9923
09381,507,9453
28365,287,6478
43940,646,1190
84831,624,6196
69153,573,3763
77261,740,8194
86412,118,7984
02765,722,1716
95580,442,8387
32075,857,4298
67023,16,9345
77108,980,699
18789,143,8055
68045,726,8035
96438,57,3205
42228,674,454
30963,760,1069
44758,704,174
59112,862,2640
38507,385,6624
58110,385,684
11205,848,197
06609,702,6570
78096,969,2827
07899,396,7833
22118,944,8438
57650,275,3529
19716,191,2199
91635,891,3849
57252,618,5644
30108,440,2777
52230,182,7093
43855,257,3385
49297,415,5661
75566,90,4600
43125,262,6229
79825,747,2853
10672,822,9641
20685,430,2525
11635,350,346
76228,974,1656
28963,384,3692
56146,256,8540
09496,125,6050
17723,299,861
30546,876,9086
75662,40,1887
19740,452,8016
47437,318,8131
09263,83,75
52872,529,2089
02943,177,2085
22258,106,5268
49380,710,1623
07477,719,5413
02502,304,7946
49476,696,9486
63606,765,3515
87960,944,4464
35325,250,6409
14429,566,8775
70630,972,2088
54919,414,3993
14152,239,5627
27503,437,8004
83812,380,4990
06962,405,2537
56825,179,4092
41976,772,2470
01613,992,9674
19211,290,2336
39409,685,6585
75529,686,8545
99968,30,9701
05224,803,7226
96331,957,189
44702,104,5772
67158,968,1356
65785,854,5870
23302,687,5226
31188,616,5352
56439,107,4342
36426,475,5574
81300,593,8213
48071,684,2422
78233,198,8927
72971,640,1111
04087,542,6858
79336,374,1054
84464,356,1181
52806,68,968
19230,571,1888
31482,965,5176
20617,111,7260
57981,402,9648
45483,360,9615
02915,394,7200
44270,825,1316
61171,549,2284
52331,438,9290
94319,266,479
33289,432,6654
59012,977,1703
80214,629,3471
80998,148,2993
67907,174,100
09011,227,9589
26035,57,5022
37429,531,8207
46699,450,3626
42310,865,9468
62774,410,6003
97474,167,4941
03029,90,6382
13831,288,1
44959,209,6604
37258,440,5148
93319,623,7910
59111,320,9199
82284,518,6483
05048,636,644
10978,492,6883
35829,190,4
66683,378,6430
56146,301,9660
14612,223,8064
90325,13,2291
82395,295,1007
57884,876,6674
23546,12,3594
30422,263,6442
91397,550,497
10707,175,7072
65123,250,5306
51296,446,9389
36260,928,3851
25594,702,3777
52229,718,4370
66145,761,3942
79143,76,123
11526,389,7569
58218,834,4495
39341,971,9424
01112,991,7259
01677,949,6908
76547,869,4338
32127,551,7225
54844,685,1089
20881,682,9874
07697,230,6044
73914,647,4749
14021,670,365
16900,651,6743
06708,120,1031
25997,233,3636
20306,300,257
73829,484,7600
50951,112,1732
96080,88,8966
14210,260,802
16559,268,8421
17142,792,2351
25906,254,9031
07963,909,1493
